student_id,first_name,last_name,email,age,gender,module,attendance_status,teacher_id,created_at,updated_at,grade,progress,score,date,english,urdu,math,science,social_studies,computer,literature
978994c8e1fdb7e6dded0671,Hina,Sultan,hina823@example.com,20,female,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-24T13:02:37.000+00:00,2024-12-24T13:02:37.000+00:00,F,85%,100,2024-12-30,77,78,80,71,82,86,87
14a7f05c989aa6b99a2cbe3a,Usman,Rehman,usman654@example.com,18,male,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-22T13:02:37.000+00:00,2024-12-22T13:02:37.000+00:00,C,78%,100,2024-12-26,73,71,70,70,83,71,76
b303face666cca96ae2e7f69,Sami,Raza,sami738@example.com,19,female,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-30T13:02:37.000+00:00,2024-12-30T13:02:37.000+00:00,D,87%,86,2024-12-31,88,71,80,76,87,72,75
cd7892817a2f88105246267f,Mehmood,Sultan,mehmood376@example.com,20,female,Module 2,Absent,676dc8e2e591a7edfe54e8b8,2024-12-06T13:02:37.000+00:00,2024-12-06T13:02:37.000+00:00,C,85%,81,2024-12-25,90,73,77,81,86,80,80
c09e90b50c3ea3b212af1c03,Muhammed,Shah,muhammed620@example.com,16,male,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-28T13:02:37.000+00:00,2024-12-28T13:02:37.000+00:00,C,70%,81,2024-12-29,74,89,87,73,89,72,78
af4d46f88a6ffdfd77adcd75,Ali,Iqbal,ali989@example.com,18,male,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-06T13:02:37.000+00:00,2024-12-06T13:02:37.000+00:00,B,78%,100,2024-12-26,85,90,70,87,71,76,78
571e1ba3ba8a3d3fad5ffefc,Nadia,Begum,nadia816@example.com,16,male,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-17T13:02:37.000+00:00,2024-12-17T13:02:37.000+00:00,D,71%,89,2024-12-25,73,81,71,79,84,87,79
6a279c99c826a22f6e54a47e,Ayesha,Masood,ayesha764@example.com,20,female,Module 1,Absent,676dc8e2e591a7edfe54e8b8,2024-12-27T13:02:37.000+00:00,2024-12-27T13:02:37.000+00:00,F,82%,94,2024-12-30,76,88,86,70,73,87,90
cc0752dbb7c15ff9ab6f3be4,Hassan,Sultan,hassan957@example.com,18,female,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-03T13:02:37.000+00:00,2024-12-03T13:02:37.000+00:00,F,89%,98,2024-12-26,88,73,72,70,79,86,89
e82edbf5639864c56500ef5,Ahmed,Aziz,ahmed211@example.com,16,female,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-03T13:02:37.000+00:00,2024-12-03T13:02:37.000+00:00,D,73%,85,2024-12-25,81,86,77,76,89,86,79
fdc8222d7176776743a8178a,Sami,Siddiqui,sami692@example.com,20,female,Module 2,Absent,676dc8e2e591a7edfe54e8b8,2024-12-18T13:02:37.000+00:00,2024-12-18T13:02:37.000+00:00,F,87%,95,2024-12-31,89,71,86,79,73,71,75
b2321917460dbb5e8a9f8db5,Ali,Khan,ali232@example.com,18,female,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-15T13:02:37.000+00:00,2024-12-15T13:02:37.000+00:00,C,78%,85,2024-12-28,78,71,88,88,78,73,82
119af47329bb41ba7b45ed7a,Ahmed,Iqbal,ahmed403@example.com,16,female,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-05T13:02:37.000+00:00,2024-12-05T13:02:37.000+00:00,F,85%,75,2024-12-31,75,80,75,75,81,76,72
57c9fa9ba3483e80fb3e6e4,Fatima,Masood,fatima194@example.com,18,female,Module 1,Absent,676dc8e2e591a7edfe54e8b8,2024-12-23T13:02:37.000+00:00,2024-12-23T13:02:37.000+00:00,B,73%,84,2024-12-27,73,89,82,75,81,87,80
2b7b5d341f8b959bf2eb2da0,Ayesha,Farooq,ayesha509@example.com,19,male,Module 1,Absent,676dc8e2e591a7edfe54e8b8,2024-12-28T13:02:37.000+00:00,2024-12-28T13:02:37.000+00:00,D,83%,85,2024-12-25,81,77,75,82,82,81,71
e21dd679637393b7c071b04c,Ali,Mazhar,ali320@example.com,18,male,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-31T13:02:37.000+00:00,2024-12-31T13:02:37.000+00:00,C,70%,71,2024-12-26,75,76,90,89,73,86,73
1c63796ffae2a416e13abdce,Shiza,Shah,shiza604@example.com,17,female,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-09T13:02:37.000+00:00,2024-12-09T13:02:37.000+00:00,B,73%,86,2024-12-27,72,73,78,70,83,84,75
780898b746784932753b0b7b,Usman,Ali,usman835@example.com,20,female,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-12T13:02:37.000+00:00,2024-12-12T13:02:37.000+00:00,B,80%,81,2024-12-26,81,85,73,89,88,70,70
d91e451544906e9d75e56213,Hina,Aziz,hina971@example.com,19,male,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-24T13:02:37.000+00:00,2024-12-24T13:02:37.000+00:00,F,82%,85,2024-12-26,78,80,74,73,87,80,85
ef19445ec20287d46a657bd4,Asad,Iqbal,asad583@example.com,16,male,Module 1,Absent,676dc8e2e591a7edfe54e8b8,2024-12-06T13:02:37.000+00:00,2024-12-06T13:02:37.000+00:00,C,82%,100,2024-12-29,78,75,84,80,90,75,77
2dc5a3c546e0dd2a806d74bb,Sana,Siddiqui,sana311@example.com,18,male,Module 1,Absent,676dc8e2e591a7edfe54e8b8,2024-12-24T13:02:37.000+00:00,2024-12-24T13:02:37.000+00:00,B,87%,94,2024-12-30,87,87,83,70,81,73,82
d27e130171fbe208ec6f95f9,Fariha,Saqib,fariha911@example.com,17,female,Module 2,Absent,676dc8e2e591a7edfe54e8b8,2024-12-26T13:02:37.000+00:00,2024-12-26T13:02:37.000+00:00,C,86%,95,2024-12-26,83,72,73,77,71,82,86
ddbc2453d87ab80ec749d840,Usman,Iqbal,usman134@example.com,20,male,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-04T13:02:37.000+00:00,2024-12-04T13:02:37.000+00:00,C,80%,71,2024-12-31,72,73,78,70,74,80,89
85f0c6a58269a0a5fdc83a86,Shahid,Personal,shahid510@example.com,20,female,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-09T13:02:37.000+00:00,2024-12-09T13:02:37.000+00:00,D,88%,88,2024-12-31,76,70,86,81,84,74,90
cbeac67cec02826f8c269e03,Zain,Ali,zain653@example.com,20,female,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-05T13:02:37.000+00:00,2024-12-05T13:02:37.000+00:00,F,90%,70,2024-12-30,89,72,90,79,70,80,81
29a73f768786f31bac21e9ab,Asad,Personal,asad151@example.com,16,female,Module 2,Absent,676dc8e2e591a7edfe54e8b8,2024-12-27T13:02:37.000+00:00,2024-12-27T13:02:37.000+00:00,C,88%,77,2024-12-25,74,89,89,70,77,82,78
ff6c433b37b13b45eb1e1282,Mehmood,Sher,mehmood784@example.com,20,male,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-30T13:02:37.000+00:00,2024-12-30T13:02:37.000+00:00,C,73%,89,2024-12-26,84,87,73,70,86,72,79
d4cc2c1b4cd31fe6048f918d,Fatima,Sultan,fatima879@example.com,18,male,Module 1,Present,676dc8e2e591a7edfe54e8b8,2024-12-07T13:02:37.000+00:00,2024-12-07T13:02:37.000+00:00,A,90%,98,2024-12-26,81,77,82,77,78,88,71
3d042e470369e3df1707bca0,Ahmed,Sharif,ahmed239@example.com,20,male,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-09T13:02:37.000+00:00,2024-12-09T13:02:37.000+00:00,A,75%,70,2024-12-30,72,80,76,79,76,87,76
9b6c42862808c38beec82c9f,Zain,Masood,zain477@example.com,19,female,Module 2,Present,676dc8e2e591a7edfe54e8b8,2024-12-03T13:02:37.000+00:00,2024-12-03T13:02:37.000+00:00,F,78%,99,2024-12-27,89,76,76,81,75,89,74
d6e26773b5ed64a94b81364c,Usman,Saqib,usman748@example.com,20,female,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-26T13:02:37.000+00:00,2024-12-26T13:02:37.000+00:00,A,77%,83,2024-12-25,70,76,85,71,73,70,80
9f12a87329356a9e898ca67b,Ayesha,Farooq,ayesha321@example.com,17,male,Module 3,Absent,676dc8e2e591a7edfe54e8b8,2024-12-18T13:02:37.000+00:00,2024-12-18T13:02:37.000+00:00,F,82%,73,2024-12-26,76,82,78,79,81,72,88
